GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jiangou,com.jiangou.snippet.service,SnippetService,548,0,38,0,116,0,36,0,17,0
jiangou,com.jiangou.snippet.service,SnippetLikeService,83,0,8,0,18,0,8,0,4,0
jiangou,com.jiangou.auth.service,EmailCodeService.Purpose,37,0,0,0,7,0,3,0,3,0
jiangou,com.jiangou.auth.service,EmailCodeService,596,0,30,0,100,0,36,0,21,0
jiangou,com.jiangou.auth.service,CaptchaService,263,0,16,0,46,0,16,0,8,0
jiangou,com.jiangou.auth.service,GitHubOAuthService,733,0,52,0,153,0,38,0,12,0
jiangou,com.jiangou.auth.service,E2eCaptchaService,9,0,0,0,3,0,2,0,2,0
jiangou,com.jiangou.auth.service,AuthService,326,0,34,0,75,0,29,0,12,0
jiangou,com.jiangou.auth.service,UserAuthService,359,0,26,0,81,0,25,0,12,0
jiangou,com.jiangou.system.vo,HomeVO.HomeVOBuilder,74,0,0,0,1,0,8,0,8,0
jiangou,com.jiangou.system.vo,HomeVO,274,0,46,0,7,0,39,0,16,0
jiangou,com.jiangou.webmention.controller,WebmentionAdminController,14,0,0,0,4,0,2,0,2,0
jiangou,com.jiangou.webmention.controller,WebmentionController,18,0,0,0,5,0,2,0,2,0
jiangou,com.jiangou.webmention.service,WebmentionService,159,0,8,0,40,0,9,0,5,0
jiangou,com.jiangou.webmention.service,WebmentionVerificationWorker,130,0,14,0,37,0,11,0,4,0
jiangou,com.jiangou.user.dto,UserUpdateDTO,189,23,38,0,0,5,25,7,6,7
jiangou,com.jiangou.article.dto,CreateArticleDTO,470,0,86,0,11,0,68,0,25,0
jiangou,com.jiangou.article.dto,LikeDTO,83,0,14,0,2,0,14,0,7,0
jiangou,com.jiangou.article.dto,UpdateArticleDTO,470,0,86,0,11,0,68,0,25,0
jiangou,com.jiangou,JiangouApplication,5,3,0,0,2,1,1,1,1,1
jiangou,com.jiangou.user.controller,UserAdminController,38,0,0,0,9,0,4,0,4,0
jiangou,com.jiangou.security,JsonAccessDeniedHandler,13,0,0,0,5,0,2,0,2,0
jiangou,com.jiangou.security,JwtTokenBlacklistService,125,0,6,0,23,0,9,0,6,0
jiangou,com.jiangou.security,RequestIdFilter,30,3,4,0,8,1,3,1,1,1
jiangou,com.jiangou.security,AuthUserCacheInvalidator,4,60,3,7,3,19,3,6,0,4
jiangou,com.jiangou.security,AuthUserCacheService,287,0,18,0,60,0,17,0,8,0
jiangou,com.jiangou.security,AuthUserCacheEvictEvent,0,13,0,0,0,4,0,2,0,2
jiangou,com.jiangou.security,PrometheusAccessEvaluator,97,0,32,0,24,0,19,0,3,0
jiangou,com.jiangou.security,CsrfCookieService,99,0,12,0,27,0,13,0,7,0
jiangou,com.jiangou.security,ClientIpResolver,65,0,14,0,16,0,11,0,4,0
jiangou,com.jiangou.security,AdminAccessEvaluator,75,0,10,0,12,0,8,0,3,0
jiangou,com.jiangou.security,AuthUserCacheInvalidationListener,0,23,0,2,0,7,0,3,0,2
jiangou,com.jiangou.security,CsrfFilter,66,21,10,0,17,5,6,2,1,2
jiangou,com.jiangou.security,JwtAuthenticationFilter,138,32,19,1,36,11,13,2,3,2
jiangou,com.jiangou.security,AuthTokenResolver,22,0,4,0,6,0,4,0,2,0
jiangou,com.jiangou.security,JwtTokenProvider,161,0,8,0,44,0,13,0,9,0
jiangou,com.jiangou.security,SecurityUserDetailsService,150,0,8,0,30,0,10,0,6,0
jiangou,com.jiangou.security,RateLimitFilter,238,12,70,0,59,5,39,1,4,1
jiangou,com.jiangou.security,JsonAuthenticationEntryPoint,41,0,0,0,12,0,4,0,4,0
jiangou,com.jiangou.security,SecurityConfig,411,0,2,0,55,0,4,0,3,0
jiangou,com.jiangou.security,AuthCookieService,115,0,6,0,30,0,11,0,8,0
jiangou,com.jiangou.security,SecurityUtils,30,0,6,0,8,0,5,0,2,0
jiangou,com.jiangou.common.cache,RedisCacheHelper,28,0,0,0,8,0,4,0,4,0
jiangou,com.jiangou.category.vo,CategoryVO.CategoryVOBuilder,74,0,0,0,1,0,8,0,8,0
jiangou,com.jiangou.category.vo,CategoryVO,274,0,46,0,7,0,39,0,16,0
jiangou,com.jiangou.upload.entity,AttachmentEntity,685,0,126,0,16,0,98,0,35,0
